comp1,comp2,x1,T,y1
water,methanol,0,337.6680579,0
water,methanol,0.02,337.9727767,0.008046708
water,methanol,0.04,338.2795468,0.016093442
water,methanol,0.06,338.5884468,0.024142119
water,methanol,0.08,338.8995639,0.032194907
water,methanol,0.1,339.2129948,0.040254255
water,methanol,0.12,339.5288473,0.048322919
water,methanol,0.14,339.8472411,0.056403996
water,methanol,0.16,340.1683094,0.064500965
water,methanol,0.18,340.492201,0.072617722
water,methanol,0.2,340.8190815,0.080758636
water,methanol,0.22,341.149136,0.088928594
water,methanol,0.24,341.4825712,0.097133069
water,methanol,0.26,341.8196181,0.105378189
water,methanol,0.28,342.1605355,0.113670812
water,methanol,0.3,342.5056129,0.122018623
water,methanol,0.32,342.8551752,0.130430238
water,methanol,0.34,343.2095868,0.138915323
water,methanol,0.36,343.5692575,0.147484738
water,methanol,0.38,343.9346478,0.156150699
water,methanol,0.4,344.3062767,0.16492697
water,methanol,0.42,344.6847295,0.173829085
water,methanol,0.44,345.0706671,0.182874614
water,methanol,0.46,345.4648373,0.192083475
water,methanol,0.48,345.8680875,0.201478302
water,methanol,0.5,346.2813799,0.211084889
water,methanol,0.52,346.7058091,0.220932725
water,methanol,0.54,347.1426233,0.231055633
water,methanol,0.56,347.5932493,0.241492556
water,methanol,0.58,348.0593229,0.252288514
water,methanol,0.6,348.5427244,0.263495787
water,methanol,0.62,349.0456232,0.275175388
water,methanol,0.64,349.5705308,0.287398907
water,methanol,0.66,350.1203672,0.300250845
water,methanol,0.68,350.6985423,0.313831605
water,methanol,0.7,351.3090592,0.328261345
water,methanol,0.72,351.9566431,0.34368503
water,methanol,0.74,352.6469084,0.360279113
water,methanol,0.76,353.3865735,0.378260517
water,methanol,0.78,354.1837443,0.397898893
water,methanol,0.8,355.0482916,0.419533649
water,methanol,0.82,355.9923644,0.443598066
water,methanol,0.84,357.0310988,0.470654234
water,methanol,0.86,358.1836228,0.501444923
water,methanol,0.88,359.4745136,0.536972884
water,methanol,0.9,360.9359752,0.578626201
water,methanol,0.92,362.6112079,0.628384405
water,methanol,0.94,364.5598407,0.689173714
water,methanol,0.96,366.8671399,0.765515378
water,methanol,0.98,369.6606257,0.864796469
water,methanol,1,373.1425686,1
water,ethanol,0,351.4393189,0
water,ethanol,0.02,351.382978,0.021966874
water,ethanol,0.04,351.3394105,0.042951536
water,ethanol,0.06,351.3081289,0.063006285
water,ethanol,0.08,351.2886587,0.082179821
water,ethanol,0.1,351.2805377,0.100517539
water,ethanol,0.12,351.2833147,0.118061811
water,ethanol,0.14,351.2965488,0.134852238
water,ethanol,0.16,351.3198082,0.150925887
water,ethanol,0.18,351.3526699,0.166317511
water,ethanol,0.2,351.3947186,0.18105976
water,ethanol,0.22,351.445547,0.195183375
water,ethanol,0.24,351.5047551,0.208717376
water,ethanol,0.26,351.5719502,0.221689244
water,ethanol,0.28,351.6467477,0.234125095
water,ethanol,0.3,351.7287715,0.246049858
water,ethanol,0.32,351.8176553,0.257487447
water,ethanol,0.34,351.913044,0.268460942
water,ethanol,0.36,352.0145963,0.278992773
water,ethanol,0.38,352.121988,0.28910492
water,ethanol,0.4,352.2349155,0.29881912
water,ethanol,0.42,352.3531015,0.308157102
water,ethanol,0.44,352.4763017,0.317140845
water,ethanol,0.46,352.6043132,0.325792875
water,ethanol,0.48,352.7369854,0.334136599
water,ethanol,0.5,352.8742338,0.342196704
water,ethanol,0.52,353.0160568,0.349999627
water,ethanol,0.54,353.1625577,0.357574119
water,ethanol,0.56,353.3139713,0.364951925
water,ethanol,0.58,353.4706989,0.372168629
water,ethanol,0.6,353.633351,0.379264698
water,ethanol,0.62,353.8028025,0.386286793
water,ethanol,0.64,353.9802632,0.39328944
water,ethanol,0.66,354.1673675,0.400337178
water,ethanol,0.68,354.3662916,0.407507372
water,ethanol,0.7,354.5799048,0.41489392
water,ethanol,0.72,354.8119705,0.422612251
water,ethanol,0.74,355.067413,0.430806158
water,ethanol,0.76,355.3526786,0.439657316
water,ethanol,0.78,355.6762323,0.449398848
water,ethanol,0.8,356.0492527,0.460335102
water,ethanol,0.82,356.4866277,0.472871301
